Notes,ICD-10 130 Cause List (Infants),ICD-10 130 Cause List (Infants) Code,Year of Death,Year of Death Code,Deaths,Births,Death Rate
,Other congenital malformations of circulatory system (Q25-Q28),GR130-124,2010,2010,174,3999386,0.04
,Other congenital malformations of circulatory system (Q25-Q28),GR130-124,2011,2011,181,3953590,0.05
,Other congenital malformations of circulatory system (Q25-Q28),GR130-124,2012,2012,176,3952841,0.04
,Other congenital malformations of circulatory system (Q25-Q28),GR130-124,2013,2013,161,3932181,0.04
,Other congenital malformations of circulatory system (Q25-Q28),GR130-124,2014,2014,152,3988076,0.04
,Other congenital malformations of circulatory system (Q25-Q28),GR130-124,2015,2015,184,3978497,0.05
,Other congenital malformations of circulatory system (Q25-Q28),GR130-124,2016,2016,195,3945875,0.05
,Other congenital malformations of circulatory system (Q25-Q28),GR130-124,2017,2017,150,3855500,0.04
,Other congenital malformations of circulatory system (Q25-Q28),GR130-124,2018,2018,163,3791712,0.04
,Other congenital malformations of circulatory system (Q25-Q28),GR130-124,2019,2019,155,3747540,0.04
,Other congenital malformations of circulatory system (Q25-Q28),GR130-124,2020,2020,154,3613647,0.04
,Other congenital malformations of circulatory system (Q25-Q28),GR130-124,2021,2021,154,3664292,0.04
,Other congenital malformations of circulatory system (Q25-Q28),GR130-124,2022,2022,189,3667758,0.05
,Other congenital malformations of circulatory system (Q25-Q28),GR130-124,2023,2023,165,3596017,0.05
,Congenital malformations of respiratory system (Q30-Q34),GR130-125,2007,2007,413,4316233,0.1
,Congenital malformations of respiratory system (Q30-Q34),GR130-125,2008,2008,374,4247726,0.09
,Congenital malformations of respiratory system (Q30-Q34),GR130-125,2009,2009,390,4130665,0.09
,Congenital malformations of respiratory system (Q30-Q34),GR130-125,2010,2010,398,3999386,0.1
,Congenital malformations of respiratory system (Q30-Q34),GR130-125,2011,2011,374,3953590,0.09
,Congenital malformations of respiratory system (Q30-Q34),GR130-125,2012,2012,335,3952841,0.08
,Congenital malformations of respiratory system (Q30-Q34),GR130-125,2013,2013,373,3932181,0.09
,Congenital malformations of respiratory system (Q30-Q34),GR130-125,2014,2014,319,3988076,0.08
,Congenital malformations of respiratory system (Q30-Q34),GR130-125,2015,2015,346,3978497,0.09
,Congenital malformations of respiratory system (Q30-Q34),GR130-125,2016,2016,379,3945875,0.1
,Congenital malformations of respiratory system (Q30-Q34),GR130-125,2017,2017,370,3855500,0.1
,Congenital malformations of respiratory system (Q30-Q34),GR130-125,2018,2018,359,3791712,0.09
,Congenital malformations of respiratory system (Q30-Q34),GR130-125,2019,2019,343,3747540,0.09
,Congenital malformations of respiratory system (Q30-Q34),GR130-125,2020,2020,346,3613647,0.1
,Congenital malformations of respiratory system (Q30-Q34),GR130-125,2021,2021,302,3664292,0.08
,Congenital malformations of respiratory system (Q30-Q34),GR130-125,2022,2022,178,3667758,0.05
,Congenital malformations of respiratory system (Q30-Q34),GR130-125,2023,2023,212,3596017,0.06
,Congenital malformations of digestive system (Q35-Q45),GR130-126,2007,2007,132,4316233,0.03
,Congenital malformations of digestive system (Q35-Q45),GR130-126,2008,2008,84,4247726,0.02
,Congenital malformations of digestive system (Q35-Q45),GR130-126,2009,2009,68,4130665,0.02
,Congenital malformations of digestive system (Q35-Q45),GR130-126,2010,2010,89,3999386,0.02
,Congenital malformations of digestive system (Q35-Q45),GR130-126,2011,2011,65,3953590,0.02
,Congenital malformations of digestive system (Q35-Q45),GR130-126,2012,2012,68,3952841,0.02
,Congenital malformations of digestive system (Q35-Q45),GR130-126,2013,2013,69,3932181,0.02
,Congenital malformations of digestive system (Q35-Q45),GR130-126,2014,2014,58,3988076,0.01
,Congenital malformations of digestive system (Q35-Q45),GR130-126,2015,2015,60,3978497,0.02
,Congenital malformations of digestive system (Q35-Q45),GR130-126,2016,2016,65,3945875,0.02
,Congenital malformations of digestive system (Q35-Q45),GR130-126,2017,2017,71,3855500,0.02
,Congenital malformations of digestive system (Q35-Q45),GR130-126,2018,2018,62,3791712,0.02
,Congenital malformations of digestive system (Q35-Q45),GR130-126,2019,2019,66,3747540,0.02
,Congenital malformations of digestive system (Q35-Q45),GR130-126,2020,2020,54,3613647,0.01
,Congenital malformations of digestive system (Q35-Q45),GR130-126,2021,2021,53,3664292,0.01
,Congenital malformations of digestive system (Q35-Q45),GR130-126,2022,2022,62,3667758,0.02
,Congenital malformations of digestive system (Q35-Q45),GR130-126,2023,2023,50,3596017,0.01
,Congenital malformations of genitourinary system (Q50-Q64),GR130-127,2007,2007,514,4316233,0.12
,Congenital malformations of genitourinary system (Q50-Q64),GR130-127,2008,2008,521,4247726,0.12
,Congenital malformations of genitourinary system (Q50-Q64),GR130-127,2009,2009,509,4130665,0.12
,Congenital malformations of genitourinary system (Q50-Q64),GR130-127,2010,2010,457,3999386,0.11
,Congenital malformations of genitourinary system (Q50-Q64),GR130-127,2011,2011,461,3953590,0.12
,Congenital malformations of genitourinary system (Q50-Q64),GR130-127,2012,2012,466,3952841,0.12
,Congenital malformations of genitourinary system (Q50-Q64),GR130-127,2013,2013,435,3932181,0.11
,Congenital malformations of genitourinary system (Q50-Q64),GR130-127,2014,2014,478,3988076,0.12
,Congenital malformations of genitourinary system (Q50-Q64),GR130-127,2015,2015,464,3978497,0.12
,Congenital malformations of genitourinary system (Q50-Q64),GR130-127,2016,2016,456,3945875,0.12
,Congenital malformations of genitourinary system (Q50-Q64),GR130-127,2017,2017,430,3855500,0.11
,Congenital malformations of genitourinary system (Q50-Q64),GR130-127,2018,2018,436,3791712,0.11
,Congenital malformations of genitourinary system (Q50-Q64),GR130-127,2019,2019,387,3747540,0.1
,Congenital malformations of genitourinary system (Q50-Q64),GR130-127,2020,2020,396,3613647,0.11
,Congenital malformations of genitourinary system (Q50-Q64),GR130-127,2021,2021,373,3664292,0.1
,Congenital malformations of genitourinary system (Q50-Q64),GR130-127,2022,2022,376,3667758,0.1
,Congenital malformations of genitourinary system (Q50-Q64),GR130-127,2023,2023,386,3596017,0.11
,"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",GR130-128,2007,2007,620,4316233,0.14
,"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",GR130-128,2008,2008,671,4247726,0.16
,"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",GR130-128,2009,2009,549,4130665,0.13
,"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",GR130-128,2010,2010,580,3999386,0.15
,"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",GR130-128,2011,2011,538,3953590,0.14
,"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",GR130-128,2012,2012,528,3952841,0.13
,"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",GR130-128,2013,2013,552,3932181,0.14
,"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",GR130-128,2014,2014,513,3988076,0.13
,"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",GR130-128,2015,2015,541,3978497,0.14
,"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",GR130-128,2016,2016,589,3945875,0.15
,"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",GR130-128,2017,2017,508,3855500,0.13
,"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",GR130-128,2018,2018,531,3791712,0.14
,"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",GR130-128,2019,2019,491,3747540,0.13
,"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",GR130-128,2020,2020,470,3613647,0.13
,"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",GR130-128,2021,2021,443,3664292,0.12
,"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",GR130-128,2022,2022,428,3667758,0.12
,"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",GR130-128,2023,2023,447,3596017,0.12
,Down syndrome (Q90),GR130-129,2007,2007,84,4316233,0.02
,Down syndrome (Q90),GR130-129,2008,2008,88,4247726,0.02
,Down syndrome (Q90),GR130-129,2009,2009,85,4130665,0.02
,Down syndrome (Q90),GR130-129,2010,2010,86,3999386,0.02
,Down syndrome (Q90),GR130-129,2011,2011,88,3953590,0.02
,Down syndrome (Q90),GR130-129,2012,2012,58,3952841,0.01
,Down syndrome (Q90),GR130-129,2013,2013,49,3932181,0.01
,Down syndrome (Q90),GR130-129,2014,2014,70,3988076,0.02
,Down syndrome (Q90),GR130-129,2015,2015,64,3978497,0.02
,Down syndrome (Q90),GR130-129,2016,2016,63,3945875,0.02
,Down syndrome (Q90),GR130-129,2017,2017,55,3855500,0.01
,Down syndrome (Q90),GR130-129,2018,2018,53,3791712,0.01
,Down syndrome (Q90),GR130-129,2019,2019,64,3747540,0.02
,Down syndrome (Q90),GR130-129,2020,2020,49,3613647,0.01
,Down syndrome (Q90),GR130-129,2021,2021,49,3664292,0.01
,Down syndrome (Q90),GR130-129,2022,2022,58,3667758,0.02
,Down syndrome (Q90),GR130-129,2023,2023,47,3596017,0.01
,Edward syndrome (Q91.0-Q91.3),GR130-130,2007,2007,532,4316233,0.12
,Edward syndrome (Q91.0-Q91.3),GR130-130,2008,2008,562,4247726,0.13
,Edward syndrome (Q91.0-Q91.3),GR130-130,2009,2009,505,4130665,0.12
,Edward syndrome (Q91.0-Q91.3),GR130-130,2010,2010,474,3999386,0.12
,Edward syndrome (Q91.0-Q91.3),GR130-130,2011,2011,481,3953590,0.12
,Edward syndrome (Q91.0-Q91.3),GR130-130,2012,2012,481,3952841,0.12
,Edward syndrome (Q91.0-Q91.3),GR130-130,2013,2013,455,3932181,0.12
,Edward syndrome (Q91.0-Q91.3),GR130-130,2014,2014,465,3988076,0.12
,Edward syndrome (Q91.0-Q91.3),GR130-130,2015,2015,502,3978497,0.13
,Edward syndrome (Q91.0-Q91.3),GR130-130,2016,2016,478,3945875,0.12
,Edward syndrome (Q91.0-Q91.3),GR130-130,2017,2017,437,3855500,0.11
,Edward syndrome (Q91.0-Q91.3),GR130-130,2018,2018,466,3791712,0.12
,Edward syndrome (Q91.0-Q91.3),GR130-130,2019,2019,434,3747540,0.12
,Edward syndrome (Q91.0-Q91.3),GR130-130,2020,2020,414,3613647,0.11
,Edward syndrome (Q91.0-Q91.3),GR130-130,2021,2021,434,3664292,0.12
,Edward syndrome (Q91.0-Q91.3),GR130-130,2022,2022,449,3667758,0.12
,Edward syndrome (Q91.0-Q91.3),GR130-130,2023,2023,467,3596017,0.13
,Patau syndrome (Q91.4-Q91.7),GR130-131,2007,2007,300,4316233,0.07
,Patau syndrome (Q91.4-Q91.7),GR130-131,2008,2008,277,4247726,0.07
,Patau syndrome (Q91.4-Q91.7),GR130-131,2009,2009,253,4130665,0.06
,Patau syndrome (Q91.4-Q91.7),GR130-131,2010,2010,245,3999386,0.06
,Patau syndrome (Q91.4-Q91.7),GR130-131,2011,2011,250,3953590,0.06
,Patau syndrome (Q91.4-Q91.7),GR130-131,2012,2012,269,3952841,0.07
,Patau syndrome (Q91.4-Q91.7),GR130-131,2013,2013,253,3932181,0.06
,Patau syndrome (Q91.4-Q91.7),GR130-131,2014,2014,247,3988076,0.06
,Patau syndrome (Q91.4-Q91.7),GR130-131,2015,2015,247,3978497,0.06
,Patau syndrome (Q91.4-Q91.7),GR130-131,2016,2016,230,3945875,0.06
,Patau syndrome (Q91.4-Q91.7),GR130-131,2017,2017,265,3855500,0.07
,Patau syndrome (Q91.4-Q91.7),GR130-131,2018,2018,229,3791712,0.06
,Patau syndrome (Q91.4-Q91.7),GR130-131,2019,2019,230,3747540,0.06
,Patau syndrome (Q91.4-Q91.7),GR130-131,2020,2020,213,3613647,0.06
,Patau syndrome (Q91.4-Q91.7),GR130-131,2021,2021,242,3664292,0.07
,Patau syndrome (Q91.4-Q91.7),GR130-131,2022,2022,196,3667758,0.05
,Patau syndrome (Q91.4-Q91.7),GR130-131,2023,2023,214,3596017,0.06
,"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",GR130-132,2007,2007,561,4316233,0.13
,"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",GR130-132,2008,2008,546,4247726,0.13
,"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",GR130-132,2009,2009,598,4130665,0.14
,"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",GR130-132,2010,2010,542,3999386,0.14
,"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",GR130-132,2011,2011,550,3953590,0.14
,"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",GR130-132,2012,2012,531,3952841,0.13
,"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",GR130-132,2013,2013,517,3932181,0.13
,"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",GR130-132,2014,2014,525,3988076,0.13
,"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",GR130-132,2015,2015,466,3978497,0.12
,"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",GR130-132,2016,2016,489,3945875,0.12
,"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",GR130-132,2017,2017,489,3855500,0.13
,"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",GR130-132,2018,2018,497,3791712,0.13
,"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",GR130-132,2019,2019,485,3747540,0.13
,"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",GR130-132,2020,2020,449,3613647,0.12
,"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",GR130-132,2021,2021,443,3664292,0.12
,"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",GR130-132,2022,2022,439,3667758,0.12
,"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",GR130-132,2023,2023,434,3596017,0.12
,"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",GR130-133,2007,2007,210,4316233,0.05
,"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",GR130-133,2008,2008,200,4247726,0.05
,"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",GR130-133,2009,2009,200,4130665,0.05
,"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",GR130-133,2010,2010,192,3999386,0.05
,"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",GR130-133,2011,2011,161,3953590,0.04
,"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",GR130-133,2012,2012,174,3952841,0.04
,"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",GR130-133,2013,2013,106,3932181,0.03
,"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",GR130-133,2014,2014,121,3988076,0.03
,"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",GR130-133,2015,2015,134,3978497,0.03
,"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",GR130-133,2016,2016,127,3945875,0.03
,"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",GR130-133,2017,2017,122,3855500,0.03
,"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",GR130-133,2018,2018,101,3791712,0.03
,"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",GR130-133,2019,2019,108,3747540,0.03
,"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",GR130-133,2020,2020,89,3613647,0.02
,"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",GR130-133,2021,2021,89,3664292,0.02
,"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",GR130-133,2022,2022,114,3667758,0.03
,"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",GR130-133,2023,2023,113,3596017,0.03
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",GR130-134,2007,2007,3618,4316233,0.84
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",GR130-134,2008,2008,3530,4247726,0.83
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",GR130-134,2009,2009,3411,4130665,0.83
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",GR130-134,2010,2010,3043,3999386,0.76
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",GR130-134,2011,2011,2823,3953590,0.71
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",GR130-134,2012,2012,2784,3952841,0.7
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",GR130-134,2013,2013,2660,3932181,0.68
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",GR130-134,2014,2014,2681,3988076,0.67
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",GR130-134,2015,2015,2804,3978497,0.7
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",GR130-134,2016,2016,2788,3945875,0.71
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",GR130-134,2017,2017,2679,3855500,0.69
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",GR130-134,2018,2018,2646,3791712,0.7
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",GR130-134,2019,2019,2442,3747540,0.65
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",GR130-134,2020,2020,2476,3613647,0.69
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",GR130-134,2021,2021,2696,3664292,0.74
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",GR130-134,2022,2022,2685,3667758,0.73
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",GR130-134,2023,2023,2574,3596017,0.72
,#Sudden infant death syndrome (R95),GR130-135,2007,2007,2461,4316233,0.57
,#Sudden infant death syndrome (R95),GR130-135,2008,2008,2350,4247726,0.55
,#Sudden infant death syndrome (R95),GR130-135,2009,2009,2231,4130665,0.54
,#Sudden infant death syndrome (R95),GR130-135,2010,2010,2058,3999386,0.51
,#Sudden infant death syndrome (R95),GR130-135,2011,2011,1905,3953590,0.48
,#Sudden infant death syndrome (R95),GR130-135,2012,2012,1676,3952841,0.42
,#Sudden infant death syndrome (R95),GR130-135,2013,2013,1561,3932181,0.4
,#Sudden infant death syndrome (R95),GR130-135,2014,2014,1541,3988076,0.39
,#Sudden infant death syndrome (R95),GR130-135,2015,2015,1567,3978497,0.39
,#Sudden infant death syndrome (R95),GR130-135,2016,2016,1498,3945875,0.38
,#Sudden infant death syndrome (R95),GR130-135,2017,2017,1360,3855500,0.35
,#Sudden infant death syndrome (R95),GR130-135,2018,2018,1331,3791712,0.35
,#Sudden infant death syndrome (R95),GR130-135,2019,2019,1251,3747540,0.33
,#Sudden infant death syndrome (R95),GR130-135,2020,2020,1386,3613647,0.38
,#Sudden infant death syndrome (R95),GR130-135,2021,2021,1458,3664292,0.4
,#Sudden infant death syndrome (R95),GR130-135,2022,2022,1531,3667758,0.42
,#Sudden infant death syndrome (R95),GR130-135,2023,2023,1446,3596017,0.4
,"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",GR130-136,2007,2007,1158,4316233,0.27
,"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",GR130-136,2008,2008,1180,4247726,0.28
,"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",GR130-136,2009,2009,1180,4130665,0.29
,"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",GR130-136,2010,2010,985,3999386,0.25
,"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",GR130-136,2011,2011,918,3953590,0.23
,"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",GR130-136,2012,2012,1108,3952841,0.28
,"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",GR130-136,2013,2013,1099,3932181,0.28
,"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",GR130-136,2014,2014,1140,3988076,0.29
,"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",GR130-136,2015,2015,1237,3978497,0.31
,"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",GR130-136,2016,2016,1290,3945875,0.33
,"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",GR130-136,2017,2017,1319,3855500,0.34
,"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",GR130-136,2018,2018,1315,3791712,0.35
,"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",GR130-136,2019,2019,1191,3747540,0.32
,"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",GR130-136,2020,2020,1090,3613647,0.3
,"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",GR130-136,2021,2021,1237,3664292,0.34
,"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",GR130-136,2022,2022,1154,3667758,0.31
,"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",GR130-136,2023,2023,1128,3596017,0.31
,"All other diseases (F00-F99,H00-H57,L00-M99)",GR130-137,2007,2007,16,4316233,0.00 (Unreliable)
,"All other diseases (F00-F99,H00-H57,L00-M99)",GR130-137,2008,2008,23,4247726,0.01
,"All other diseases (F00-F99,H00-H57,L00-M99)",GR130-137,2009,2009,14,4130665,0.00 (Unreliable)
,"All other diseases (F00-F99,H00-H57,L00-M99)",GR130-137,2010,2010,20,3999386,0.01
,"All other diseases (F00-F99,H00-H57,L00-M99)",GR130-137,2011,2011,14,3953590,0.00 (Unreliable)
,"All other diseases (F00-F99,H00-H57,L00-M99)",GR130-137,2012,2012,11,3952841,0.00 (Unreliable)
,"All other diseases (F00-F99,H00-H57,L00-M99)",GR130-137,2013,2013,20,3932181,0.01
,"All other diseases (F00-F99,H00-H57,L00-M99)",GR130-137,2014,2014,19,3988076,0.00 (Unreliable)
,"All other diseases (F00-F99,H00-H57,L00-M99)",GR130-137,2015,2015,15,3978497,0.00 (Unreliable)
,"All other diseases (F00-F99,H00-H57,L00-M99)",GR130-137,2016,2016,15,3945875,0.00 (Unreliable)
,"All other diseases (F00-F99,H00-H57,L00-M99)",GR130-137,2017,2017,20,3855500,0.01
,"All other diseases (F00-F99,H00-H57,L00-M99)",GR130-137,2018,2018,16,3791712,0.00 (Unreliable)
,"All other diseases (F00-F99,H00-H57,L00-M99)",GR130-137,2019,2019,19,3747540,0.01 (Unreliable)
,"All other diseases (F00-F99,H00-H57,L00-M99)",GR130-137,2020,2020,16,3613647,0.00 (Unreliable)
,"All other diseases (F00-F99,H00-H57,L00-M99)",GR130-137,2021,2021,25,3664292,0.01
,"All other diseases (F00-F99,H00-H57,L00-M99)",GR130-137,2022,2022,17,3667758,0.00 (Unreliable)
,"All other diseases (F00-F99,H00-H57,L00-M99)",GR130-137,2023,2023,17,3596017,0.00 (Unreliable)
,"External causes of mortality (*U01,V01-Y84)",GR130-138,2007,2007,1723,4316233,0.4
,"External causes of mortality (*U01,V01-Y84)",GR130-138,2008,2008,1762,4247726,0.41
,"External causes of mortality (*U01,V01-Y84)",GR130-138,2009,2009,1612,4130665,0.39
,"External causes of mortality (*U01,V01-Y84)",GR130-138,2010,2010,1540,3999386,0.39
,"External causes of mortality (*U01,V01-Y84)",GR130-138,2011,2011,1544,3953590,0.39
,"External causes of mortality (*U01,V01-Y84)",GR130-138,2012,2012,1553,3952841,0.39
,"External causes of mortality (*U01,V01-Y84)",GR130-138,2013,2013,1539,3932181,0.39
,"External causes of mortality (*U01,V01-Y84)",GR130-138,2014,2014,1496,3988076,0.38
,"External causes of mortality (*U01,V01-Y84)",GR130-138,2015,2015,1650,3978497,0.41
,"External causes of mortality (*U01,V01-Y84)",GR130-138,2016,2016,1628,3945875,0.41
,"External causes of mortality (*U01,V01-Y84)",GR130-138,2017,2017,1742,3855500,0.45
,"External causes of mortality (*U01,V01-Y84)",GR130-138,2018,2018,1560,3791712,0.41
,"External causes of mortality (*U01,V01-Y84)",GR130-138,2019,2019,1670,3747540,0.45
,"External causes of mortality (*U01,V01-Y84)",GR130-138,2020,2020,1549,3613647,0.43
,"External causes of mortality (*U01,V01-Y84)",GR130-138,2021,2021,1669,3664292,0.46
,"External causes of mortality (*U01,V01-Y84)",GR130-138,2022,2022,1741,3667758,0.47
,"External causes of mortality (*U01,V01-Y84)",GR130-138,2023,2023,1623,3596017,0.45
,#Accidents (unintentional injuries) (V01-X59),GR130-139,2007,2007,1282,4316233,0.3
,#Accidents (unintentional injuries) (V01-X59),GR130-139,2008,2008,1314,4247726,0.31
,#Accidents (unintentional injuries) (V01-X59),GR130-139,2009,2009,1172,4130665,0.28
,#Accidents (unintentional injuries) (V01-X59),GR130-139,2010,2010,1107,3999386,0.28
,#Accidents (unintentional injuries) (V01-X59),GR130-139,2011,2011,1167,3953590,0.3
,#Accidents (unintentional injuries) (V01-X59),GR130-139,2012,2012,1163,3952841,0.29
,#Accidents (unintentional injuries) (V01-X59),GR130-139,2013,2013,1150,3932181,0.29
,#Accidents (unintentional injuries) (V01-X59),GR130-139,2014,2014,1163,3988076,0.29
,#Accidents (unintentional injuries) (V01-X59),GR130-139,2015,2015,1289,3978497,0.32
,#Accidents (unintentional injuries) (V01-X59),GR130-139,2016,2016,1217,3945875,0.31
,#Accidents (unintentional injuries) (V01-X59),GR130-139,2017,2017,1313,3855500,0.34
,#Accidents (unintentional injuries) (V01-X59),GR130-139,2018,2018,1169,3791712,0.31
,#Accidents (unintentional injuries) (V01-X59),GR130-139,2019,2019,1264,3747540,0.34
,#Accidents (unintentional injuries) (V01-X59),GR130-139,2020,2020,1192,3613647,0.33
,#Accidents (unintentional injuries) (V01-X59),GR130-139,2021,2021,1300,3664292,0.35
,#Accidents (unintentional injuries) (V01-X59),GR130-139,2022,2022,1351,3667758,0.37
,#Accidents (unintentional injuries) (V01-X59),GR130-139,2023,2023,1288,3596017,0.36
,Transport accidents (V01-V99),GR130-140,2007,2007,124,4316233,0.03
,Transport accidents (V01-V99),GR130-140,2008,2008,102,4247726,0.02
,Transport accidents (V01-V99),GR130-140,2009,2009,95,4130665,0.02
,Transport accidents (V01-V99),GR130-140,2010,2010,78,3999386,0.02
,Transport accidents (V01-V99),GR130-140,2011,2011,96,3953590,0.02
,Transport accidents (V01-V99),GR130-140,2012,2012,70,3952841,0.02
,Transport accidents (V01-V99),GR130-140,2013,2013,70,3932181,0.02
,Transport accidents (V01-V99),GR130-140,2014,2014,69,3988076,0.02
,Transport accidents (V01-V99),GR130-140,2015,2015,69,3978497,0.02
,Transport accidents (V01-V99),GR130-140,2016,2016,91,3945875,0.02
,Transport accidents (V01-V99),GR130-140,2017,2017,90,3855500,0.02
,Transport accidents (V01-V99),GR130-140,2018,2018,82,3791712,0.02
,Transport accidents (V01-V99),GR130-140,2019,2019,74,3747540,0.02
